PESSOA,TEMA,lado,LINKEDIN
Tiago de Faveri Giusti,Empreendedorismo Social,oferta,
Tiago de Faveri Giusti,Educação,oferta,
Tiago de Faveri Giusti,Gestão Escolar,oferta,
Tiago Lima Mitraud de Castro Leite,Minas Gerais,oferta,
Tiago Lima Mitraud de Castro Leite,Setor Público Legislativo,oferta,
Tiago Lima Mitraud de Castro Leite,Gestão Pública,oferta,
Ursula Vidal Santiago de Mendonça  ,Pará,oferta,
Ursula Vidal Santiago de Mendonça  ,Setor Público Executivo,oferta,
Ursula Vidal Santiago de Mendonça  ,Desenvolvimento Social,oferta,
Ursula Vidal Santiago de Mendonça  ,Gabinete de crise,oferta,
Vinicius Mendes Marcilio,Rio de Janeiro,oferta,
Vinicius Mendes Marcilio,Setor Privado,oferta,
Vinicius Mendes Marcilio,Desenvolvimento Econômico,oferta,
Vitelio Marcos Brustolin,Massachusetts,oferta,
Vitelio Marcos Brustolin,Academia/Pesquisa,oferta,
Vitelio Marcos Brustolin,Desenvolvimento Econômico,oferta,
Vitelio Marcos Brustolin,"Mestrado, Doutorado, MBA, Estudar Fora",oferta,
Viviani Barnabe,São Paulo,oferta,
Viviani Barnabe,Academia/Pesquisa,oferta,
Viviani Barnabe,Saúde,oferta,
Viviani Barnabe,Metodologia Ativa (PBL),oferta,
Abidan Henrique da Silva,,recebe,
Adauto Modesto Junior,Equidade Racial,recebe,
Aérton Lessa Neto Limeira,Inteligência Artificial,recebe,
Alabê Nunjara Silva,Captação de Recursos,recebe,
Alan Carvalho Oliveira,Mestrado, Doutorado, MBA, Estudar Fora,recebe,
Alessandro Lucciola Molon,,recebe,
Alessandro Vieira,Mestrado, Doutorado, MBA, Estudar Fora,recebe,
Alex Moreira Roberto,Dados e Conhecimento,recebe,
Alice Andrés Ribeiro,,recebe,
Alice dos Santos Gabino,Inglês,recebe,
Aline Cristina Pereira dos Santos,Empreendedorismo,recebe,
ALINE DAMASCENO FERREIRA SCHLEICHER,,recebe,
Amanda Fenyves Sadalla Costa,Relações Humanas,recebe,
Amaral Barbosa de Lima,Desenvolvimento de Lideranças,recebe,
Amilcar Pereira Cardoso,Estratégias de Comunicação e Marca Pessoal,recebe,
Ana Carolina C D'Agostini,Empreendedorismo,recebe,
Ana Luisa de Araujo Santos,Conectividade,recebe,
Ana Paula Pereira,Estratégias de Comunicação e Marca Pessoal,recebe,
Ana Paula Romero Manzalli,Mestrado, Doutorado, MBA, Estudar Fora,recebe,
Anamaíra Pereira Spaggiari Souza,,recebe,
Anderson Soares Furtado Oliveira,Captação de Recursos,recebe,
André Lopes G Cardone,,recebe,
André Luís Alice Raabe,Ensino Médio,recebe,
André Silva,,recebe,
Anelize Lenzi Ruas de Almeida,Mestrado, Doutorado, MBA, Estudar Fora,recebe,
Angelo Luiz Viana Santos,Antirracismo,recebe,
Anna Funaro Mortara,Avaliações de Impacto,recebe,
